PartitionKey,RowKey,Timestamp,beginingPinCount,endingPinCount,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,up
Lane 4,20181212911764,12/13/2018 3:46:25 AM,1023,658,403,304,429,134,451,13,"","","","",4
Lane 4,20181212914580,12/13/2018 12:40:14 AM,1023,64,728,404,714,263,708,133,683,23,"","",1
Lane 4,20181212915872,12/13/2018 12:30:42 AM,1023,128,513,387,538,235,558,105,576,13,"","",1
Lane 4,20181212916554,12/13/2018 12:52:06 AM,1023,947,152,347,207,208,255,96,296,11,"","",7
Lane 4,20181212916764,12/13/2018 12:28:08 AM,1023,1015,57,374,108,250,149,155,183,69,"","",9
Lane 4,20181212920837,12/13/2018 12:27:50 AM,1023,1015,37,296,79,192,128,105,"","","","",9
Lane 4,20181212921127,12/13/2018 12:31:35 AM,1023,171,401,416,429,358,449,256,467,169,481,95,5
Lane 4,20181212921924,12/13/2018 12:46:08 AM,1023,776,758,361,739,188,727,56,"","","","",3
Lane 4,20181212923015,12/13/2018 12:25:31 AM,1023,0,454,402,493,242,522,98,549,4,"","",0
Lane 4,20181212925528,12/13/2018 1:45:02 AM,1023,992,964,406,943,274,930,160,912,56,"","",5
Lane 4,20181212927286,12/13/2018 12:42:06 AM,1023,661,318,353,350,244,377,151,399,75,417,12,5
Lane 4,20181212928450,12/13/2018 1:43:15 AM,1023,0,519,401,528,263,539,146,"","","","",0
Lane 4,20181212932108,12/13/2018 1:46:59 AM,1023,1007,848,353,839,216,834,110,833,23,"","",9
Lane 4,20181212933291,12/13/2018 12:34:39 AM,1023,33,383,414,420,337,446,219,468,121,488,40,2
Lane 4,20181212937411,12/13/2018 12:41:39 AM,1023,658,334,390,356,333,376,248,393,175,409,110,4
Lane 4,20181212945473,12/13/2018 12:35:59 AM,1023,41,440,400,458,348,472,264,485,189,497,122,3
Lane 4,20181212946553,12/13/2018 12:45:34 AM,1023,769,772,396,745,176,752,23,"","","","",3
Lane 4,20181212946637,12/13/2018 12:52:34 AM,1023,948,86,411,138,344,175,246,208,160,236,88,6
Lane 4,20181212948785,12/13/2018 12:32:30 AM,1023,1,490,386,523,204,553,67,"","","","",1
Lane 4,20181212954252,12/13/2018 3:46:06 AM,1023,272,570,401,584,236,590,104,"","","","",2
Lane 4,20181212955425,12/13/2018 12:38:22 AM,1023,640,329,366,363,229,398,117,418,27,"","",2
Lane 4,20181212959280,12/13/2018 12:40:59 AM,1023,656,329,344,354,250,375,169,395,100,412,40,3
Lane 4,20181212961932,12/13/2018 12:42:19 AM,1023,676,234,410,275,349,304,250,331,163,354,92,4
Lane 4,20181212963584,12/13/2018 12:35:33 AM,1023,3,495,388,516,269,539,156,549,65,"","",2
Lane 4,20181212965614,12/13/2018 12:31:43 AM,1023,17,508,340,544,95,"","","","","","",2
Lane 4,20181212968404,12/13/2018 12:31:27 AM,1023,16,536,396,562,236,583,96,599,5,"","",1
Lane 4,20181212970874,12/13/2018 12:29:21 AM,1023,1022,1024,379,1002,259,981,149,963,59,950,5,9
Lane 4,20181212970880,12/13/2018 12:44:39 AM,1023,763,340,407,385,281,420,149,451,44,"","",8
Lane 4,20181212974167,12/13/2018 12:39:58 AM,1023,646,254,409,303,303,341,179,373,87,"","",4
Lane 4,20181212979483,12/13/2018 12:26:10 AM,1023,1004,959,350,926,165,903,26,"","","","",7
Lane 4,20181212981021,12/13/2018 12:32:08 AM,1023,1,508,398,529,200,546,45,"","","","",1
Lane 4,20181212981428,12/13/2018 12:41:19 AM,1023,657,398,405,414,367,426,320,439,256,450,199,4
Lane 4,20181212982079,12/13/2018 12:27:19 AM,1023,1015,19,417,59,363,99,276,134,197,165,124,9
Lane 4,20181212984682,12/13/2018 12:49:24 AM,1023,8,633,362,632,161,642,17,"","","","",1
Lane 4,20181212985451,12/13/2018 12:51:47 AM,1023,947,166,373,202,282,232,193,259,116,286,50,7
Lane 4,20181212986265,12/13/2018 12:51:14 AM,1023,947,256,381,291,223,324,107,"","","","",7
Lane 4,20181212986325,12/13/2018 12:52:01 AM,1023,947,274,372,302,269,328,170,349,89,371,24,7
Lane 4,20181212986336,12/13/2018 12:45:45 AM,1023,772,787,377,778,277,779,192,774,114,"","",3
Lane 4,20181212986844,12/13/2018 1:44:19 AM,1023,959,261,400,308,221,348,77,"","","","",9
Lane 4,20181212989019,12/13/2018 12:49:56 AM,1023,8,568,420,584,364,594,271,604,186,612,109,1
Lane 4,20181212992912,12/13/2018 12:25:20 AM,1023,0,454,385,491,194,524,50,"","","","",0
